"id","neighbourhood_name","state","state_lga_id","latitude","longitude","created_at","updated_at"
"474","Yagba East","Kogi","320","8.1378","5.6879",NULL,NULL
"475","Yagba West","Kogi","321","8.3145","5.5197",NULL,NULL
"476","Mopa-Muro","Kogi","322","8.1355","5.8565",NULL,NULL
"477","Mushin","Lagos","323","6.5352","3.349",NULL,NULL
"478","Idi Araba","Lagos","323","6.5153","3.3477",NULL,NULL
"479","Ikoyi","Lagos","324","6.45","3.4333",NULL,NULL
"480","Agege","Lagos","324","6.618","3.3209",NULL,NULL
"481","Ajeromi-Ifelodun","Lagos","325","6.4555","3.3339",NULL,NULL
"482","Amukoko","Lagos","325","6.4701","3.3427",NULL,NULL
"483","Ajegunle","Lagos","325","6.4541","3.3351",NULL,NULL
"484","Ibeju-Lekki","Lagos","326","6.4569","3.8859",NULL,NULL
"485","Ibeju Lekki","Lagos","326","6.4569","3.8859",NULL,NULL
"486","Alimosho","Lagos","327","6.5744","3.257",NULL,NULL
"487","Ikotun","Lagos","327","6.5631","3.2506",NULL,NULL
"488","Alakuko","Lagos","327","6.6811","3.2646",NULL,NULL
"489","Abule Egba ","Lagos","327","6.6484","3.2992",NULL,NULL
"490","Ipaja","Lagos","327","6.6131","3.2659",NULL,NULL
"491","Ifako-Ijaiye","Lagos","328","6.685","3.2885",NULL,NULL
"492","Abule Egba","Lagos","328","6.6484","3.2992",NULL,NULL
"493","Ijaiye","Lagos","328","6.6233","3.3313",NULL,NULL
"494","Amuwo Odofin","Lagos","329","6.4293","3.2684",NULL,NULL
"495","Festac","Lagos","329","6.4703","3.2818",NULL,NULL
"496","Satellite Town","Lagos","329","6.4454","3.2433",NULL,NULL
"497","Mile 2","Lagos","329","6.4624","3.3159",NULL,NULL
"498","Apapa","Lagos","330","6.4553","3.3641",NULL,NULL
"499","Ijora","Lagos","330","6.474","3.3565",NULL,NULL
"500","Tincan Port","Lagos","330","6.4343","3.3562",NULL,NULL
"501","Ojo","Lagos","331","6.4579","3.158",NULL,NULL
"502","Alaba","Lagos","331","6.4582","3.3263",NULL,NULL
"503","Okokomaiko","Lagos","331","6.475","3.1905",NULL,NULL
"504","Iyana Iba","Lagos","331","6.4874","3.1992",NULL,NULL
"505","Iba","Lagos","331","6.499","3.193",NULL,NULL
"506","Odo-Eran","Lagos","331","6.5073","3.3251",NULL,NULL
